gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
441925924	7a2660bc-f762-11e1-a439-00145eb45e9a	http://id.snsb.info/snsb/collection/421399/496072/205208	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur L.		RU	St. Petersburg, ul. Prof. Popova 2, Botanischer Garten V. L. Komarova, Wegrand nahe der NE-Ecke des Phanerogamenherbariums		PRESENT		0674aea0-a7e1-11d8-9534-b8a03c50a862	59.969444	30.32							2007-09-20T00:00:00	20	9	2007	2878688	2878688	PRESERVED_SPECIMEN	GLM	GLMcoll	GLM-F081007 / 496072 / 205208				CC_BY_4_0		Boyle, H.			2023-09-07T08:29:34.146Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4011506401	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/83481602	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur		RU		City of St. Petersburg	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	59.966923	30.311571	23.0						2021-06-18T10:49:32	18	6	2021	2878688	2878688	HUMAN_OBSERVATION	iNaturalist	Observations	83481602		Igor Kuzmin	2021-07-13T06:41:22	CC_BY_NC_4_0	lessbless9000	lessbless9000			2023-10-12T19:49:16.991Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3958657199	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10195698273	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur L.	L.	RU			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	59.975456	30.278113			28.24	0.0			2020-06-16T18:28:23.603	16	6	2020	2878688	2878688	HUMAN_OBSERVATION							CC_BY_4_0					2023-08-25T17:50:58.869Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3903618953	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/133572062	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur		RU		City of St. Petersburg	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	59.938433	30.292753	3.0						2022-09-03T09:53:23	3	9	2022	2878688	2878688	HUMAN_OBSERVATION	iNaturalist	Observations	133572062		komar281	2022-09-04T05:42:19	CC_BY_NC_4_0	komar281	komar281			2023-10-12T19:37:26.563Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3358528237	28b85661-dc35-4dfc-acb3-6f0dc34ee716	53711949	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur		RU		City of St. Petersburg	PRESENT		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	59.9441	30.3569		1.0E-5					2020-07-20T00:00:00	20	7	2020	2878688	2878688	HUMAN_OBSERVATION	Moscow State University		53711949		Experts of FLORUS Community.		CC_BY_4_0	naturalist40863	naturalist40863			2023-08-25T21:08:19.318Z		CONTINENT_DERIVED_FROM_COORDINATES
3358515475	28b85661-dc35-4dfc-acb3-6f0dc34ee716	57619804	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur		RU		City of St. Petersburg	PRESENT		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	59.956	30.3499	4.0	1.0E-5					2020-08-23T00:00:00	23	8	2020	2878688	2878688	HUMAN_OBSERVATION	Moscow State University		57619804		Experts of FLORUS Community.		CC_BY_4_0	hedgehog_	hedgehog_			2023-08-25T21:08:19.895Z		CONTINENT_DERIVED_FROM_COORDINATES
3321141607	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/85239797	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur		RU		City of St. Petersburg	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	59.935203	30.303738	24.0						2021-07-01T21:24:14	1	7	2021	2878688	2878688	HUMAN_OBSERVATION	iNaturalist	Observations	85239797		Igor Kuzmin	2021-07-01T21:28:04	CC_BY_NC_4_0	Evgeny Ananyev	Evgeny Ananyev			2023-10-12T19:47:30.835Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3320890631	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/84401539	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur		RU		City of St. Petersburg	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	59.952532	30.292959	23.0						2021-06-25T11:42:52	25	6	2021	2878688	2878688	HUMAN_OBSERVATION	iNaturalist	Observations	84401539		Людмила Пчелкина	2021-06-25T08:43:35	CC_BY_NC_4_0	Людмила Пчелкина	Людмила Пчелкина			2023-10-12T19:33:06.309Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3307415693	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/82542284	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur		RU		City of St. Petersburg	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	59.941338	30.300982	65.0						2021-06-11T16:30:41	11	6	2021	2878688	2878688	HUMAN_OBSERVATION	iNaturalist	Observations	82542284		smirnovaab	2021-06-11T13:30:54	CC_BY_NC_4_0	smirnovaab	smirnovaab			2023-10-12T19:33:00.508Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3302214301	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/80869235	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur		RU		City of St. Petersburg	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	59.946194	30.333002	17.0						2021-05-30T15:47:33	30	5	2021	2878688	2878688	HUMAN_OBSERVATION	iNaturalist	Observations	80869235		dima_o	2021-05-30T12:47:48	CC_BY_NC_4_0	dima_o	dima_o			2023-10-12T19:33:17.906Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2862301571	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/58509591	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur		RU		City of St. Petersburg	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	59.935224	30.270182	3.0						2020-08-28T18:13:00	28	8	2020	2878688	2878688	HUMAN_OBSERVATION	iNaturalist	Observations	58509591		Aleksandr_Levon	2020-09-04T15:16:43	CC_BY_NC_4_0	Aleksandr_Levon	Aleksandr_Levon			2023-10-12T19:31:13.928Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2643668731	7a3679ef-5582-4aaa-81f0-8c2545cafc81	o-1004172510	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur		SPECIES	Quercus robur L.	Quercus robur L.	L.	RU			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	59.938073	30.27833			30.61	0.0			2019-06-15T20:31:10	15	6	2019	2878688	2878688	HUMAN_OBSERVATION							CC_BY_4_0					2023-08-26T02:18:25.304Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
